Sum of Budget,CollaboratingCountries,Country,Sum of DurationDays,EnvironmentalImpact,Year,Quarter,Month,Day,Sum of LaunchMonth,LaunchSite,Sum of LaunchYear,MissionName,MissionType,Sum of QuarterOfYear,SatelliteType,Sum of SuccessRate,TechnologyUsed
$22.5M,China,India,256,Low,1905,Qtr 3,July,7,7,West Jamesside,1905,Optimized Encompassing Graphical User Interface,Manned,3,Spy,93,Reusable Rocket
$12.6M,China,India,85,Medium,1905,Qtr 2,June,26,6,Port Justinbury,1905,Total 5Thgeneration Conglomeration,Unmanned,2,Communication,82,Reusable Rocket
$7.9M,China,India,249,Medium,1905,Qtr 2,June,29,6,Royside,1905,Vision-Oriented Zero Tolerance Leverage,Unmanned,2,Communication,85,Solar Propulsion
$31.4M,China,India,292,Medium,1905,Qtr 3,July,4,7,Marytown,1905,Multi-Layered Static Focus Group,Manned,3,Research,83,Solar Propulsion
$28.7M,China,Israel,50,High,1905,Qtr 3,July,7,7,Millerchester,1905,Optimized Next Generation Encryption,Manned,3,Communication,75,Ai Navigation
$42.6M,China,Israel,331,High,1905,Qtr 3,July,8,7,Reidland,1905,Total Bi-Directional Pricing Structure,Manned,3,Navigation,100,Ai Navigation
$35.0M,China,Israel,128,Low,1905,Qtr 2,June,29,6,New Faith,1905,Object-Based 6Thgeneration Utilization,Manned,2,Navigation,100,Reusable Rocket
$15.0M,China,Israel,264,Low,1905,Qtr 3,July,12,7,New Robertborough,1905,Front-Line Context-Sensitive Encryption,Manned,3,Spy,54,Traditional Rocket
$46.1M,China,Israel,102,Medium,1905,Qtr 2,June,23,6,Hoville,1905,Stand-Alone Coherent Info-Mediaries,Unmanned,2,Weather,52,Solar Propulsion
$36.3M,China,Israel,286,Medium,1905,Qtr 2,June,24,6,Breannamouth,1905,Automated Coherent Policy,Unmanned,2,Weather,83,Ai Navigation
$10.9M,China,Israel,248,Medium,1905,Qtr 2,June,25,6,South Nathan,1905,Horizontal 24Hour Product,Unmanned,2,Research,96,Traditional Rocket
$18.2M,China,Israel,9,Medium,1905,Qtr 2,June,27,6,Warrenton,1905,Open-Architected Eco-Centric Forecast,Unmanned,2,Navigation,63,Solar Propulsion
$9.8M,China,Israel,290,Medium,1905,Qtr 3,July,8,7,North Samuelstad,1905,Centralized User-Facing Paradigm,Unmanned,3,Navigation,88,Ai Navigation
$36.0M,China,Israel,337,Medium,1905,Qtr 3,July,9,7,Amyhaven,1905,Extended Bi-Directional Matrix,Manned,3,Weather,99,Reusable Rocket
$3.4M,China,Japan,181,High,1905,Qtr 2,June,23,6,Randychester,1905,Proactive Web-Enabled Conglomeration,Unmanned,2,Research,87,Ai Navigation
$43.5M,China,Japan,168,High,1905,Qtr 2,June,28,6,West Richard,1905,Organic Full-Range Intranet,Unmanned,2,Spy,56,Solar Propulsion
$25.1M,China,Japan,21,High,1905,Qtr 3,July,2,7,West Rachelview,1905,Intuitive Homogeneous Project,Manned,3,Navigation,68,Traditional Rocket
$38.8M,China,Japan,292,Low,1905,Qtr 2,June,22,6,West Alexandriabury,1905,Upgradable Scalable Leverage,Unmanned,2,Research,52,Solar Propulsion
$20.4M,China,Japan,168,Low,1905,Qtr 2,June,24,6,Feliciachester,1905,Operative Global Archive,Manned,2,Navigation,58,Solar Propulsion
$43.5M,China,Japan,184,Low,1905,Qtr 2,June,24,6,West Victoria,1905,Mandatory Needs-Based Leverage,Unmanned,2,Research,57,Nuclear Propulsion
$41.1M,China,Japan,64,Low,1905,Qtr 3,July,5,7,New Jeremyland,1905,Organized Secondary Synergy,Unmanned,3,Communication,75,Nuclear Propulsion
$4.1M,China,Japan,240,Low,1905,Qtr 3,July,9,7,East Arthurside,1905,Implemented Next Generation Info-Mediaries,Unmanned,3,Weather,55,Nuclear Propulsion
$46.7M,China,Japan,117,Low,1905,Qtr 3,July,9,7,Port Phillipport,1905,Versatile Encompassing Contingency,Manned,3,Research,62,Nuclear Propulsion
$2.6M,China,Japan,137,Medium,1905,Qtr 2,June,26,6,Moniquestad,1905,Horizontal Reciprocal Matrix,Manned,2,Spy,73,Nuclear Propulsion
$26.7M,China,Japan,23,Medium,1905,Qtr 3,July,1,7,Kellyhaven,1905,Cross-Platform Web-Enabled Application,Manned,3,Navigation,53,Ai Navigation
$25.5M,China,Japan,157,Medium,1905,Qtr 3,July,8,7,North Richardbury,1905,Quality-Focused Incremental Moderator,Unmanned,3,Research,52,Reusable Rocket
$42.6M,China,Japan,239,Medium,1905,Qtr 3,July,16,7,Reyeshaven,1905,Secured Bandwidth-Monitored Encryption,Unmanned,3,Weather,88,Traditional Rocket
$49.9M,China,Russia,356,High,1905,Qtr 2,June,26,6,Larabury,1905,Triple-Buffered Attitude-Oriented Superstructure,Manned,2,Navigation,76,Ai Navigation
$33.2M,China,Russia,135,High,1905,Qtr 3,July,1,7,Lake Stephen,1905,Re-Engineered Actuating Groupware,Manned,3,Research,99,Nuclear Propulsion
$11.8M,China,Russia,364,High,1905,Qtr 3,July,15,7,Port Jasonton,1905,Future-Proofed System-Worthy Support,Unmanned,3,Research,54,Reusable Rocket
$23.8M,China,Russia,212,Low,1905,Qtr 2,June,29,6,Jasonberg,1905,Assimilated Analyzing Function,Manned,2,Spy,94,Solar Propulsion
$33.5M,China,Russia,259,Medium,1905,Qtr 3,July,5,7,Reillyborough,1905,Cloned Mobile Policy,Manned,3,Navigation,93,Nuclear Propulsion
$19.9M,China,Uae,334,High,1905,Qtr 2,June,28,6,Newmantown,1905,Object-Based Real-Time Model,Manned,2,Navigation,73,Traditional Rocket
$16.1M,China,Uae,259,Low,1905,Qtr 2,June,22,6,West Janeland,1905,Front-Line Client-Server Adapter,Manned,2,Communication,51,Nuclear Propulsion
$1.2M,China,Uae,231,Low,1905,Qtr 2,June,26,6,Manuelshire,1905,Phased 5Thgeneration Interface,Manned,2,Weather,79,Reusable Rocket
$24.0M,China,Uae,244,Low,1905,Qtr 2,June,29,6,Justinburgh,1905,Extended Static Instruction Set,Manned,2,Weather,90,Ai Navigation
$29.2M,China,Uae,60,Low,1905,Qtr 3,July,1,7,Lake Manuel,1905,Fully-Configurable Optimizing Leverage,Unmanned,3,Communication,95,Ai Navigation
$17.6M,China,Uae,128,Low,1905,Qtr 3,July,5,7,Scottton,1905,Assimilated Impactful Functionalities,Manned,3,Communication,100,Traditional Rocket
$6.9M,China,Uae,126,Medium,1905,Qtr 3,July,1,7,Lake Davidstad,1905,Centralized Cohesive Circuit,Unmanned,3,Navigation,50,Nuclear Propulsion
$2.9M,China,Uae,241,Medium,1905,Qtr 3,July,2,7,Masontown,1905,Distributed Dynamic Circuit,Unmanned,3,Communication,95,Reusable Rocket
$24.9M,China,Uae,204,Medium,1905,Qtr 3,July,10,7,East Sabrina,1905,Customizable Upward-Trending Pricing Structure,Manned,3,Communication,63,Solar Propulsion
$21.6M,China,Uae,132,Medium,1905,Qtr 3,July,12,7,East Michael,1905,Fully-Configurable Foreground Matrix,Unmanned,3,Communication,89,Reusable Rocket
$37.1M,China,Uk,157,High,1905,Qtr 2,June,29,6,North Danielleland,1905,Down-Sized 24/7 Capability,Unmanned,2,Research,89,Ai Navigation
$19.4M,China,Uk,329,High,1905,Qtr 2,June,29,6,West Shannon,1905,Organic Object-Oriented Groupware,Unmanned,2,Research,90,Ai Navigation
$11.4M,China,Uk,350,High,1905,Qtr 3,July,2,7,Port Lawrenceburgh,1905,Secured Interactive Superstructure,Manned,3,Spy,64,Nuclear Propulsion
$25.6M,China,Uk,232,High,1905,Qtr 3,July,3,7,Coryside,1905,Devolved Local Frame,Manned,3,Research,93,Nuclear Propulsion
$48.1M,China,Uk,78,High,1905,Qtr 3,July,14,7,South Kennethhaven,1905,Reduced 24Hour Hardware,Manned,3,Spy,54,Solar Propulsion
$24.5M,China,Uk,70,Low,1905,Qtr 2,June,24,6,Sarahbury,1905,Triple-Buffered Impactful Website,Manned,2,Navigation,77,Nuclear Propulsion
$18.0M,China,Uk,188,Low,1905,Qtr 2,June,28,6,Kimberlyhaven,1905,Optional Optimal Alliance,Unmanned,2,Research,81,Nuclear Propulsion
$4.0M,China,Uk,236,Low,1905,Qtr 3,July,1,7,Port Jennifer,1905,Synergized Web-Enabled Instruction Set,Manned,3,Spy,98,Reusable Rocket
$41.0M,China,Uk,186,Low,1905,Qtr 3,July,1,7,South Deannaside,1905,Centralized Tangible Customer Loyalty,Manned,3,Navigation,97,Ai Navigation
$41.2M,China,Uk,69,Low,1905,Qtr 3,July,10,7,Robertoland,1905,Re-Contextualized Non-Volatile Initiative,Manned,3,Weather,98,Reusable Rocket
$25.2M,China,Uk,105,Low,1905,Qtr 3,July,14,7,Lake Michaelmouth,1905,Exclusive 24Hour Local Area Network,Unmanned,3,Spy,73,Ai Navigation
$47.5M,China,Uk,3,Medium,1905,Qtr 2,June,23,6,New Cynthiashire,1905,Digitized 6Thgeneration Infrastructure,Manned,2,Communication,93,Ai Navigation
$9.6M,China,Uk,166,Medium,1905,Qtr 2,June,24,6,Millerport,1905,Public-Key Global Installation,Unmanned,2,Weather,100,Traditional Rocket
$29.4M,China,Uk,106,Medium,1905,Qtr 3,July,11,7,Mccannville,1905,Digitized Client-Driven Hub,Manned,3,Research,93,Solar Propulsion
$36.2M,China,Usa,199,High,1905,Qtr 2,June,26,6,South Deanside,1905,Virtual Leadingedge Task-Force,Manned,2,Navigation,92,Traditional Rocket
$14.6M,China,Usa,13,High,1905,Qtr 2,June,28,6,Morrisville,1905,Customer-Focused Bottom-Line Benchmark,Unmanned,2,Spy,58,Ai Navigation
$26.5M,China,Usa,73,High,1905,Qtr 2,June,30,6,Jonesland,1905,Down-Sized Tangible Frame,Manned,2,Communication,94,Solar Propulsion
$14.8M,China,Usa,137,High,1905,Qtr 2,June,30,6,Lake David,1905,Reactive Uniform Groupware,Manned,2,Weather,74,Ai Navigation
$11.7M,China,Usa,262,High,1905,Qtr 3,July,11,7,Lake George,1905,Programmable Real-Time Alliance,Manned,3,Research,69,Ai Navigation
$48.6M,China,Usa,233,High,1905,Qtr 3,July,12,7,Lake Mandymouth,1905,Cross-Group Secondary Portal,Manned,3,Weather,56,Solar Propulsion
$23.2M,China,Usa,297,Low,1905,Qtr 3,July,2,7,Ashleymouth,1905,Enterprise-Wide Systematic Groupware,Manned,3,Spy,90,Nuclear Propulsion
$45.4M,China,Usa,25,Low,1905,Qtr 3,July,17,7,Millerborough,1905,Switchable Interactive Analyzer,Manned,3,Communication,50,Ai Navigation
$6.0M,China,Usa,183,Low,1905,Qtr 3,July,17,7,Port Emily,1905,Exclusive Optimizing Portal,Unmanned,3,Communication,88,Ai Navigation
$40.6M,China,Usa,160,Medium,1905,Qtr 3,July,7,7,Rojasshire,1905,Centralized Empowering Projection,Manned,3,Navigation,71,Ai Navigation
$36.3M,China,Usa,337,Medium,1905,Qtr 3,July,12,7,Jessicamouth,1905,Self-Enabling Global Firmware,Manned,3,Communication,73,Ai Navigation
$33.4M,China,Usa,113,Medium,1905,Qtr 3,July,12,7,Lawsonview,1905,Re-Engineered Disintermediate Moratorium,Manned,3,Communication,70,Reusable Rocket
$39.8M,China,Usa,24,Medium,1905,Qtr 3,July,17,7,South Angelafurt,1905,Reduced Bi-Directional Artificial Intelligence,Manned,3,Communication,54,Solar Propulsion
$44.6M,"China, France",China,220,Medium,1905,Qtr 2,June,30,6,Lake Mike,1905,Right-Sized Optimizing Moratorium,Unmanned,2,Research,100,Solar Propulsion
$6.2M,"China, France",France,72,High,1905,Qtr 3,July,3,7,Wandachester,1905,Persistent Optimal Encoding,Manned,3,Communication,63,Nuclear Propulsion
$40.6M,"China, France",France,149,Low,1905,Qtr 3,July,4,7,Jillmouth,1905,Programmable Zero Tolerance Hub,Manned,3,Weather,78,Traditional Rocket
$5.0M,"China, France",Israel,311,Low,1905,Qtr 3,July,14,7,New Gary,1905,Persevering Zero Administration Support,Unmanned,3,Weather,97,Nuclear Propulsion
$14.3M,"China, France",Russia,307,High,1905,Qtr 2,June,23,6,Wallport,1905,Cross-Platform Demand-Driven Support,Unmanned,2,Communication,64,Ai Navigation
$5.5M,"China, France",Russia,306,High,1905,Qtr 2,June,28,6,Susanmouth,1905,Assimilated Even-Keeled Protocol,Manned,2,Weather,89,Traditional Rocket
$26.3M,"China, France",Russia,162,Medium,1905,Qtr 2,June,24,6,North Bonnie,1905,Secured Mobile Collaboration,Unmanned,2,Research,72,Reusable Rocket
$36.6M,"China, France",Uk,239,High,1905,Qtr 3,July,5,7,South Suzannechester,1905,Reactive Upward-Trending Success,Unmanned,3,Navigation,82,Traditional Rocket
$27.8M,"China, France",Uk,362,Medium,1905,Qtr 3,July,4,7,Lake Kevin,1905,User-Friendly Optimizing Core,Unmanned,3,Research,61,Solar Propulsion
$24.5M,"China, France",Usa,180,High,1905,Qtr 3,July,15,7,Morseview,1905,Secured National Framework,Unmanned,3,Communication,71,Ai Navigation
$47.9M,"China, France",Usa,180,Medium,1905,Qtr 3,July,14,7,West Jose,1905,Open-Architected Leadingedge Structure,Unmanned,3,Spy,88,Reusable Rocket
$38.8M,"China, France, Germany",Japan,220,Medium,1905,Qtr 3,July,2,7,Jamesmouth,1905,Grass-Roots Local Methodology,Unmanned,3,Spy,83,Reusable Rocket
$12.8M,"China, France, Germany",Usa,219,Low,1905,Qtr 2,June,25,6,Hoffmanchester,1905,Progressive Intermediate Open Architecture,Unmanned,2,Navigation,96,Nuclear Propulsion
$17.5M,"China, France, India",India,118,High,1905,Qtr 3,July,16,7,West Jeffrey,1905,Optional Dedicated Implementation,Unmanned,3,Communication,69,Ai Navigation
$11.9M,"China, France, India",Uae,334,Low,1905,Qtr 3,July,4,7,Kellytown,1905,Optimized Bifurcated Alliance,Unmanned,3,Spy,100,Traditional Rocket
$24.2M,"China, France, Israel",India,262,Low,1905,Qtr 3,July,15,7,Jacobsburgh,1905,Monitored Full-Range Toolset,Unmanned,3,Navigation,50,Ai Navigation
$31.2M,"China, France, Uae",Japan,98,High,1905,Qtr 3,July,3,7,West Jamesbury,1905,Networked Human-Resource Array,Unmanned,3,Weather,87,Nuclear Propulsion
$0.8M,"China, France, Uk",India,191,Low,1905,Qtr 3,July,8,7,South Sherri,1905,Advanced Client-Driven Budgetary Management,Unmanned,3,Research,82,Traditional Rocket
$22.8M,"China, France, Uk",Russia,181,Low,1905,Qtr 2,June,24,6,Andersonville,1905,Multi-Channeled Maximized Hierarchy,Manned,2,Research,80,Traditional Rocket
$23.6M,"China, France, Usa",France,118,Low,1905,Qtr 3,July,7,7,Elizabethmouth,1905,Adaptive Contextually-Based Middleware,Unmanned,3,Spy,95,Solar Propulsion
$33.1M,"China, France, Usa",France,85,Medium,1905,Qtr 3,July,12,7,North Amyville,1905,Configurable Systemic Firmware,Unmanned,3,Communication,55,Solar Propulsion
$21.3M,"China, France, Usa",Russia,314,High,1905,Qtr 2,June,29,6,Donaldchester,1905,Phased Homogeneous Initiative,Unmanned,2,Weather,72,Solar Propulsion
$18.2M,"China, Germany",China,350,Low,1905,Qtr 2,June,28,6,Rachelbury,1905,Monitored National System Engine,Manned,2,Weather,57,Traditional Rocket
$18.1M,"China, Germany",China,40,Medium,1905,Qtr 2,June,23,6,New Reneeside,1905,Streamlined 24Hour Application,Unmanned,2,Communication,58,Reusable Rocket
$13.7M,"China, Germany",France,185,Medium,1905,Qtr 3,July,1,7,Herreraton,1905,Reduced Real-Time Throughput,Unmanned,3,Weather,70,Ai Navigation
$40.9M,"China, Germany",India,346,Low,1905,Qtr 3,July,16,7,North Nathan,1905,Horizontal Tertiary Local Area Network,Unmanned,3,Spy,54,Ai Navigation
$10.5M,"China, Germany",Israel,194,Low,1905,Qtr 3,July,6,7,Billyfurt,1905,Triple-Buffered Stable Contingency,Manned,3,Weather,100,Traditional Rocket
$24.6M,"China, Germany",Uae,56,Low,1905,Qtr 3,July,10,7,West Nathan,1905,Advanced Multi-Tasking Access,Unmanned,3,Navigation,95,Solar Propulsion
$45.7M,"China, Germany",Uk,195,High,1905,Qtr 3,July,3,7,Deleonland,1905,Up-Sized Client-Server Standardization,Manned,3,Spy,56,Traditional Rocket
$18.3M,"China, Germany",Uk,270,High,1905,Qtr 3,July,10,7,Jamieview,1905,Upgradable Bi-Directional Initiative,Unmanned,3,Spy,97,Reusable Rocket
$17.1M,"China, Germany",Uk,254,High,1905,Qtr 3,July,13,7,Rodriguezshire,1905,Fully-Configurable System-Worthy Interface,Unmanned,3,Communication,72,Reusable Rocket
$2.4M,"China, Germany",Uk,258,Low,1905,Qtr 2,June,22,6,Martinezshire,1905,Optional 5Thgeneration Strategy,Unmanned,2,Communication,77,Traditional Rocket
$45.6M,"China, Germany, France",Usa,180,Low,1905,Qtr 2,June,28,6,New Taylormouth,1905,Universal Empowering Service-Desk,Manned,2,Research,97,Traditional Rocket
$25.4M,"China, Germany, India",Uk,271,High,1905,Qtr 2,June,24,6,Williamsborough,1905,Multi-Lateral Exuding Migration,Manned,2,Research,100,Nuclear Propulsion
$13.1M,"China, Germany, Israel",China,35,Medium,1905,Qtr 2,June,29,6,Baileyville,1905,Mandatory Bandwidth-Monitored Benchmark,Unmanned,2,Research,54,Traditional Rocket
$8.9M,"China, Germany, Israel",Germany,106,Low,1905,Qtr 3,July,16,7,Robertsfort,1905,Enterprise-Wide Methodical Infrastructure,Manned,3,Communication,73,Nuclear Propulsion
$37.3M,"China, Germany, Israel",Israel,133,Medium,1905,Qtr 2,June,27,6,Port Allisontown,1905,Adaptive Composite Ability,Manned,2,Communication,92,Ai Navigation
$7.2M,"China, Germany, Japan",India,192,Low,1905,Qtr 3,July,17,7,North Nicole,1905,Customer-Focused Asynchronous Info-Mediaries,Manned,3,Navigation,97,Ai Navigation
$27.5M,"China, Germany, Russia",India,101,Low,1905,Qtr 2,June,30,6,Anthonytown,1905,Optimized Zero Administration Encoding,Manned,2,Spy,68,Reusable Rocket
$38.9M,"China, Germany, Russia",Japan,40,Low,1905,Qtr 2,June,22,6,North Benjaminfort,1905,Innovative Encompassing Data-Warehouse,Manned,2,Weather,82,Traditional Rocket
$45.4M,"China, Germany, Russia",Uae,165,High,1905,Qtr 3,July,10,7,Katherinehaven,1905,Devolved 4Thgeneration Ability,Unmanned,3,Research,53,Ai Navigation
$18.5M,"China, Germany, Uae",Germany,349,Low,1905,Qtr 3,July,3,7,Port Cameron,1905,Persevering Stable Access,Manned,3,Communication,70,Solar Propulsion
$33.8M,"China, Germany, Uk",China,53,High,1905,Qtr 3,July,5,7,Jacobchester,1905,Front-Line Fresh-Thinking Customer Loyalty,Manned,3,Research,83,Ai Navigation
$43.7M,"China, Germany, Uk",China,312,Low,1905,Qtr 3,July,7,7,East Melissaland,1905,User-Friendly Executive Throughput,Unmanned,3,Communication,63,Traditional Rocket
$41.3M,"China, Germany, Usa",Uk,101,Low,1905,Qtr 3,July,15,7,South Adamview,1905,Proactive Bi-Directional Complexity,Unmanned,3,Weather,62,Nuclear Propulsion
$15.4M,"China, India",France,100,Medium,1905,Qtr 3,July,6,7,Lopezshire,1905,User-Centric Transitional Help-Desk,Manned,3,Weather,79,Nuclear Propulsion
$3.6M,"China, India",Germany,133,High,1905,Qtr 3,July,13,7,Port Christopherborough,1905,Multi-Layered Transitional Benchmark,Unmanned,3,Communication,62,Nuclear Propulsion
$38.5M,"China, India",Germany,97,Medium,1905,Qtr 3,July,6,7,North Joseph,1905,Mandatory Value-Added Intranet,Unmanned,3,Communication,98,Nuclear Propulsion
$28.3M,"China, India",Germany,68,Medium,1905,Qtr 3,July,16,7,Robertafort,1905,Quality-Focused Static Monitoring,Unmanned,3,Research,77,Reusable Rocket
$11.8M,"China, India",Germany,250,Medium,1905,Qtr 3,July,16,7,West Angel,1905,Focused Analyzing Leverage,Manned,3,Weather,65,Solar Propulsion
$2.9M,"China, India",Israel,279,Medium,1905,Qtr 3,July,11,7,Briannahaven,1905,Re-Contextualized Grid-Enabled Standardization,Manned,3,Spy,96,Solar Propulsion
$15.3M,"China, India",Uae,234,High,1905,Qtr 3,July,1,7,Christianburgh,1905,Cross-Platform Local Capacity,Manned,3,Research,69,Solar Propulsion
$38.0M,"China, India",Uae,128,High,1905,Qtr 3,July,11,7,West Jennifer,1905,Open-Source Methodical Synergy,Manned,3,Spy,67,Solar Propulsion
$44.3M,"China, India",Uae,101,High,1905,Qtr 3,July,12,7,Lake Joseph,1905,Total Real-Time Intranet,Manned,3,Spy,50,Traditional Rocket
$10.1M,"China, India",Uae,161,Low,1905,Qtr 2,June,22,6,New Racheltown,1905,Distributed 24/7 Strategy,Unmanned,2,Spy,57,Nuclear Propulsion
$32.4M,"China, India",Uk,171,Medium,1905,Qtr 3,July,4,7,West Lauraside,1905,Automated Didactic Alliance,Manned,3,Spy,52,Reusable Rocket
$16.0M,"China, India",Uk,312,Medium,1905,Qtr 3,July,9,7,North Stevenstad,1905,Enterprise-Wide Non-Volatile Archive,Manned,3,Communication,77,Traditional Rocket
$22.4M,"China, India, France",Japan,22,High,1905,Qtr 3,July,7,7,Lake Brooke,1905,Quality-Focused User-Facing Benchmark,Unmanned,3,Research,87,Reusable Rocket
$49.5M,"China, India, France",Japan,56,Low,1905,Qtr 3,July,5,7,Lake Mary,1905,Reverse-Engineered Mission-Critical Structure,Manned,3,Communication,85,Nuclear Propulsion
$39.6M,"China, India, Germany",China,297,Low,1905,Qtr 3,July,3,7,Benjaminmouth,1905,Customer-Focused Non-Volatile Website,Manned,3,Spy,84,Solar Propulsion
$7.0M,"China, India, Japan",Russia,83,Low,1905,Qtr 2,June,24,6,Lake Christopher,1905,Reactive Context-Sensitive Interface,Manned,2,Navigation,69,Solar Propulsion
$10.7M,"China, India, Japan",Uk,105,High,1905,Qtr 2,June,22,6,South Daisyfurt,1905,Object-Based Exuding Alliance,Manned,2,Communication,57,Traditional Rocket
$45.3M,"China, India, Russia",China,329,High,1905,Qtr 2,June,30,6,Benjaminmouth,1905,Profound 24/7 Matrix,Unmanned,2,Communication,70,Traditional Rocket
$5.9M,"China, India, Russia",Uk,133,Medium,1905,Qtr 2,June,22,6,Espinozachester,1905,Pre-Emptive Client-Server Encoding,Manned,2,Spy,99,Nuclear Propulsion
$44.8M,"China, India, Uk",Russia,250,High,1905,Qtr 3,July,4,7,Amandachester,1905,Fundamental Intermediate Matrix,Unmanned,3,Navigation,74,Solar Propulsion
$36.9M,"China, India, Uk",Russia,211,Medium,1905,Qtr 2,June,23,6,East Ashley,1905,Configurable Fault-Tolerant Throughput,Unmanned,2,Weather,91,Ai Navigation
$23.6M,"China, Israel",France,134,Medium,1905,Qtr 3,July,14,7,Johnsonville,1905,Persistent Reciprocal Leverage,Manned,3,Spy,53,Reusable Rocket
$9.4M,"China, Israel",Germany,65,High,1905,Qtr 2,June,28,6,Newmanhaven,1905,Ergonomic Bifurcated Framework,Unmanned,2,Weather,99,Ai Navigation
$36.5M,"China, Israel",Germany,192,Medium,1905,Qtr 2,June,28,6,Lake Paulview,1905,Profit-Focused Composite Portal,Unmanned,2,Weather,82,Ai Navigation
$27.8M,"China, Israel",India,69,Low,1905,Qtr 2,June,28,6,Lake Wendymouth,1905,Organic Object-Oriented Interface,Manned,2,Communication,90,Reusable Rocket
$16.5M,"China, Israel",India,296,Medium,1905,Qtr 2,June,23,6,North Dylan,1905,Configurable Solution-Oriented Product,Unmanned,2,Communication,57,Reusable Rocket
$48.4M,"China, Israel",Israel,189,Medium,1905,Qtr 2,June,22,6,South Amy,1905,Streamlined Context-Sensitive Migration,Manned,2,Navigation,94,Ai Navigation
$34.2M,"China, Israel",Uae,290,Low,1905,Qtr 3,July,12,7,Bergerborough,1905,Re-Engineered Needs-Based Approach,Unmanned,3,Communication,55,Traditional Rocket
$45.6M,"China, Israel",Uae,83,Medium,1905,Qtr 3,July,3,7,New David,1905,Phased Even-Keeled Open Architecture,Manned,3,Navigation,63,Reusable Rocket
